Date,subscriber_count,Daily Subscribers,isChange
2025-06-20,2830000.0,0,False
2025-06-21,2830000.0,0,False
2025-06-22,2830000.0,0,False
2025-06-23,2830000.0,0,False
2025-06-24,2830000.0,0,False
2025-06-25,2840000.0,10000,True
2025-06-26,2840000.0,0,False
2025-06-27,2840000.0,0,False
2025-06-28,2840000.0,0,False
2025-06-29,2840000.0,0,False
2025-06-30,2840000.0,0,False
2025-07-01,2840000.0,0,False
2025-07-02,2850000.0,10000,True
2025-07-03,2850000.0,0,False
2025-07-04,2850000.0,0,False
2025-07-05,2850000.0,0,False
2025-07-09,2860000.0,10000,True
2025-07-10,2860000.0,0,False
2025-07-11,2860000.0,0,False
2025-07-12,2860000.0,0,False
2025-07-13,,0,False
2025-07-15,,0,False
2025-07-16,,0,False
